block_id,m5_day_range,calendar_date_range,num_days,event_day_count,total_named_event_occurrences,unique_event_count,unique_events_list,mean_daily_demand,zero_sales_ratio,active_sku_ratio,price_change_frequency,avg_price_cv
52,d_1429-d_1456,2014-12-27 to 2015-01-23,28,3,3,3,"MartinLutherKingDay, NewYear, OrthodoxChristmas",1.1161,0.6477,0.848,0.0365,0.0024
53,d_1457-d_1484,2015-01-24 to 2015-02-20,28,4,4,4,"LentStart, PresidentsDay, SuperBowl, ValentinesDay",1.2137,0.6225,0.8753,0.0476,0.0029
54,d_1485-d_1512,2015-02-21 to 2015-03-20,28,3,3,3,"LentWeek2, Purim End, StPatricksDay",1.1907,0.6196,0.8798,0.0448,0.0031
55,d_1513-d_1540,2015-03-21 to 2015-04-17,28,3,3,3,"Easter, OrthodoxEaster, Pesach End",1.2005,0.6176,0.8815,0.0305,0.0028
56,d_1541-d_1568,2015-04-18 to 2015-05-15,28,2,2,2,"Cinco De Mayo, Mother's day",1.2095,0.6095,0.8874,0.0475,0.0025
57,d_1569-d_1596,2015-05-16 to 2015-06-12,28,2,2,2,"MemorialDay, NBAFinalsStart",1.2293,0.6065,0.8914,0.0301,0.0016
58,d_1597-d_1624,2015-06-13 to 2015-07-10,28,4,4,4,"Father's day, IndependenceDay, NBAFinalsEnd, Ramadan starts",1.2765,0.6073,0.8888,0.03,0.0016
59,d_1625-d_1652,2015-07-11 to 2015-08-07,28,1,1,1,Eid al-Fitr,1.3164,0.6018,0.8918,0.0298,0.0019
60,d_1653-d_1680,2015-08-08 to 2015-09-04,28,0,0,0,None,1.2978,0.6031,0.8861,0.0217,0.0017
61,d_1681-d_1708,2015-09-05 to 2015-10-02,28,2,2,2,"EidAlAdha, LaborDay",1.309,0.5994,0.8999,0.0237,0.0017
62,d_1709-d_1736,2015-10-03 to 2015-10-30,28,1,1,1,ColumbusDay,1.3162,0.5916,0.9078,0.0265,0.0013
63,d_1737-d_1764,2015-10-31 to 2015-11-27,28,3,3,3,"Halloween, Thanksgiving, VeteransDay",1.2331,0.6075,0.8917,0.0323,0.0016
64,d_1765-d_1792,2015-11-28 to 2015-12-25,28,2,2,2,"Chanukah End, Christmas",1.1918,0.6188,0.8892,0.0192,0.0009
65,d_1793-d_1820,2015-12-26 to 2016-01-22,28,3,3,3,"MartinLutherKingDay, NewYear, OrthodoxChristmas",1.2476,0.6076,0.8936,0.0249,0.0015
66,d_1821-d_1848,2016-01-23 to 2016-02-19,28,5,5,5,"LentStart, LentWeek2, PresidentsDay, SuperBowl, ValentinesDay",1.3579,0.5837,0.9176,0.0386,0.0021
67,d_1849-d_1876,2016-02-20 to 2016-03-18,28,1,1,1,StPatricksDay,1.3751,0.5755,0.9255,0.0557,0.0025
68,d_1877-d_1904,2016-03-19 to 2016-04-15,28,2,2,2,"Easter, Purim End",1.382,0.5681,0.9403,0.0267,0.0012
69,d_1905-d_1932,2016-04-16 to 2016-05-13,28,4,4,4,"Cinco De Mayo, Mother's day, OrthodoxEaster, Pesach End",1.4047,0.5524,0.9669,0.0207,0.0014
